	crt_76[K]	crt_72-76[CVMNK]	dhfr_51[N]	dhfr_59[C]	dhfr_108[S]	dhfr_164[I]	dhps_437[G]	dhps_540[K]	dhps_581[A]	dhps_613[A]	kelch13_349-726_ns_changes	mdr1_dup_call	mdr1_breakpoint	pm2_dup_call	pm2_breakpoint
PA0425-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0431-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PA0438-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0439-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0440-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0441-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0442-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0443-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0444-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0445-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0446-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0447-C	K,T	CVMNK,CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0448-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0449-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0450-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0451-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0453-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0454-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0455-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0456-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0457-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0458-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0459-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0460-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0461-C	T	CVIET	N,I	C,R	S,N	I	G	K	A	A		0		0	
PA0462-C	T	CVIET	I	R,C	N	I	G	K	A	A		0		0	
PA0463-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0464-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0465-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0467-C	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	A		0		0	
PA0468-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0469-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0470-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0471-C	T	CVIET	I	R	N	I	G	K	A	A		0	PfMDR1_dup_15	0	
PA0472-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0473-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0474-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0475-C	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	A		0		0	
PA0478-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0479-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0480-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0481-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0482-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0483-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0484-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0485-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0486-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0487-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0488-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0489-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0490-C	T,K	CVIET,!	I	R	N	I	G,A	K	A	A		0		0	
PA0491-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0492-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0494-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0496-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0497-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0498-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0500-C	T,K	CVIET,CVMNK	I	R,C	N,S	I	G	K	A	A		0		0	
PA0501-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0502-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0503-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0504-C	T	CVIET	I,N	R,C	N	I	G	K	A	A		0		0	
PA0505-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PA0506-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0507-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0508-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0513-C	T	CVIET	I,N	R,C	N,S	I	G	K	A	S,A		0		0	
PA0514-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	A	K	A	A		0		0	
PA0516-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0520-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0521-C	T	CVIET	I,N	R,C	N	I	G	K	A	A,S		0		0	
PA0522-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0523-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0524-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PA0525-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0532-C	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
PA0534-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA0537-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0540-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0541-C	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	A		0		0	
PA0542-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0544-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PA0550-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0551-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0554-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0558-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0561-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PA0562-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0563-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0564-C	T,K	CVIET,CVMNK	N	R	N	I	A	K	A	A		0		0	
PA0572-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0575-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PA0576-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0577-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0586-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA0597-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0599-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0604-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0611-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0617-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0618-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA0619-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0620-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0621-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0622-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0623-C	K	CVMNK	N	C,R	N,S	I	G	K	A	A	-	0		0	
PA0625-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0626-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0627-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0628-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0629-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0630-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0631-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0633-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA0634-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0636-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0637-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PA0638-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PA0639-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0641-C	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
PA0642-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0643-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PA0645-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0649-C	T	CVIET	N	C	S	I	G	E	A	A		0		0	
PA0654-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0655-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0677-CW	T,K	CVIET,CVMNK	I,N	R,C	N	I	G	K	A	A		-1		0	
PA0699-CW	K	CVMNK	I	R	N	I	G	K	A	A		-1		0	
PA0809-CW	T,K	CVMNK,CVIET	I	R	N	I	G	K	A	A,S		-1		0	
PA0895-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0899-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA0900-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA0916-CW	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1029-CW	K	CVMNK	I	R	N	I	G	K	A	A		-1		0	
PA1038-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA1048-CW	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
PA1050-CW	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA1051-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1052-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1061-CW	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1062-CW	T	CVIET	I	R	N	I	A	K	A	A	-	-1		0	
PA1313-Cw	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1315-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1316-Cw	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA1317-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1318-Cw	T	CVIET	N	C	S	I	G	K	A	A		0	PfMDR1_dup_03	0	
PA1319-Cw	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA1320-Cw	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PA1321-Cw	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA1323-Cw	K	CVMNK	I	R	N	I	A	K	A	A		-1		0	
PA1324-Cw	T	CVIET	N	R	N	I	G	K	A	A		0		0	
PA1326-Cw	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1328-Cw	T	CVIET	N	R	N	I	G	K	A	A		0		0	
PA1330-Cw	T	CVIET	I	R	N	I	A	K	A	A		-1		-1	
PA1331-Cw	K	CVMNK	N,I	C,R	S,N	I	A	K	A	A		0		0	
PA1332-Cw	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1333-Cw	K	CVMNK	I	R	N	I	G,A	K	A	A		0	PfMDR1_dup_09	0	
PA1336-Cw	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PA1337-Cw	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA1338-Cw	K	CVMNK	N,I	C,R	S,N	I	A	K	A	A		0		0	
PA1339-Cw	T	CVIET	I,N	R	N	I	G	K	A	A		0		0	
PA1340-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1349-Cw	T	CVIET	I	R	N	I	A,G	K	A	A	-	-1		0	
PA1362-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1369-Cw	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA1376-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1391-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1406-Cw	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1411-Cw	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PA1426-Cw	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PA1437-Cw	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PA1446-Cw	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PA1447-Cw	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PA1448-Cw	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1450-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PA1452-Cw	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_13	0	
PA1453-Cw	K,T	CVMNK,CVIET*	I	R	N	I	A,G	K	A	A		0		0	
PA1456-Cw	K	CVMNK	I	R	N	I	A	K	A	A	-	-1		-1	
PC0001-C	K	CVMNK	I,N	R	N	I	G	E	A	A		0		0	
PC0003-02	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0004-01	T	CVIET	I	C	N	I	G	E	A	A		0		0	
PC0005-Cx	K	CVMNK	I	C	N	I	G	E	A	A		0		0	
PC0007-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC0008-01	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC0009-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC0011-C	K	CVMNK	I	C	N	I	A	K	A	A		0		0	
PC0012-C	T,K	CVIET,CVMNK	I	C	N	I	G	E	A	A		0		0	
PC0013-C	T	CVIET	I	R,C	N	I	G	E	A	A		0		0	
PC0019-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PC0023-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0026-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0030-C	K	CVMNK	I	R	N	I	A,G	K,E	A	A		0		0	
PC0031-C	K	CVMNK	I	R	N	I	G	E	A	A		0	PfMDR1_dup_22	0	PfPlasmepsin_1
PC0032-C	T	CVIET	I	R	N	I	G	E	A	A		0	PfMDR1_dup_09	0	
PC0033-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0044-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0046-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PC0047-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC0051-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0053-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0054-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC0057-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0058-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0061-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PC0063-C	K	CVMNK	N	R	N	I	G	E	A	A		0		0	
PC0064-C	T	CVIET	I	C	N	I	A	K	A	A		0		0	
PC0065-C	K	CVMNK	I	C	N	I	A	K,E	A	A		0		0	
PC0066-C	K	CVMNK	I	C	N	I	G	E	A	A		0		0	
PC0067-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0068-C	K	CVMNK	I	C	N	I	G	E	A	A		0	PfMDR1_dup_05	0	
PC0069-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PC0070-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0071-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0073-C	K	CVMNK	N	R	N	I	G	E	A	A		0		0	
PC0074-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0075-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC0077-C	K	CVMNK	I	C	N	I	G	E	A	A		-1		0	
PC0078-C	K	CVMNK	N,I	R	N	I	G	E	A	A		0		0	
PC0079-C	K	CVMNK	N	R	N	I	G	E	A	A		0		0	
PC0085-C	K	CVMNK	I	C	N	I	A,G	E,K	A	A		0		0	PfPlasmepsin_1
PC0097-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC0103-C	K	CVMNK	N	R	N	I	G	E	A	A		0		0	
PC0104-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0107-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	PfPlasmepsin_1
PC0113-C	T,K	CVIET,CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0118-C	T	CVIET	N,I	R	N	I	G,A	E,K	A	A		0		0	
PC0122-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC0167-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0169-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0170-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0172-C	K	CVMNK	I	C,R	N	I	G	E	A	A	a569s,v445i*	0		0	
PC0173-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0174-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0178-C	T,K	CVIET,CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0180-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0183-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0184-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0186-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0187-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0188-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0189-C	K	CVMNK	I	R	N	I	G	E	A	A	a578s	0		0	
PC0191-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0193-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0197-C	T	CVIET	I	C	N	I	G	E	A	A		0		0	
PC0198-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0199-C	K	CVMNK	I	R	N	I	G	E	A	A	A578S	0		0	
PC0200-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0201-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0202-C	K,T	CVMNK,CVIET	I	R	N	I	G	E	A	A		0		0	
PC0206-C	K	CVMNK	I	R	N	I	G	E	A	A		0	PfMDR1_dup_15	0	
PC0208-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0209-C	K	CVMNK	I	R,C	N	I	G	E	A	A		0		0	
PC0213-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0220-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0229-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0231-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0232-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0233-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0236-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0245-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0246-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0252-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0254-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0255-C	K	CVMNK	I	C	N	L	G	E	A	A		0		0	
PC0256-C	K,T	CVMNK,CVIET	I	R	N	I	G	E	A	A		0		0	
PC0257-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0258-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0259-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0262-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0263-C	T,K	CVIET,CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0265-C	K	CVMNK	I	R	N	I,L	G	E	A	A		0		0	
PC0268-C	K	CVMNK	I	R,C	N	I	G	E	A	A		0		0	
PC0269-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0273-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0276-C	T,K	CVIET,CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0277-C	T	CVIET	I	R	N	I	G	E	A	A	A578S	0		0	
PC0278-C	K	CVMNK	I	R	N	I	G	E	A,G	A		0		0	
PC0282-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0287-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0288-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0293-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0295-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0296-C	K,T	CVMNK,CVIET	I	R	N	I	G	E	A	A		0		0	
PC0301-C	K	CVMNK	I	R	N	I	G	E	A	A		0	PfMDR1_dup_17	0	
PC0302-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0305-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0311-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0314-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0337-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC0352-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4008-C	K	CVMNK	I	R	N	I	A,G	K,E	A	A		0		0	
PC4009-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PC4010-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4011-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4013-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4014-C	T	CVIET	N	C	S,N	I	A	K	A	A		0		0	
PC4015-C	K	CVMNK	I	C	N	I	A	K	A	A		0		0	
PC4016-C	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PC4018-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PC4019-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC4021-C	T	CVIET	I	R,C	N	I	A	K	A	A		0		0	
PC4024-C	T	CVIET	N	R,C	N,S	I	A	K	A	A		0		0	
PC4025-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PC4026-C	T	CVIET	I,N	C,R	N	I	G,A	E,K	A	A		0		0	
PC4027-C	T,K	CVIET,CVMNK	N	C,R	N,S	I	A,G	K,E	A	A		0		0	
PC4028-C	T,K	CVIET,CVMNK	I,N	C,R	N,S	I	A	K	A	A		0		0	
PC4030-C	K,T	CVMNK,CVIET	N,I	C	S,N	I	A	K,R	A	A		0		0	
PC4031-C	T	CVIET	N,I	R,C	N,S	I	A	K	A	A		0		0	
PC4032-C	T	CVIET	N,I	C	S,N	I	A	K	A	A		0		0	
PC4033-C	T,K	CVIET,CVMNK	N,I	R	N	I	A	K	A	A		0		0	
PC4034-C	K	CVMNK	N	R	N	I	A	K	A	A		0		0	
PC4035-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC4036-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC4037-C	K	CVMNK	I	C	N	I	G	E	A	A		0		0	
PC4038-C	T	CVIET	I	C	N	I	A	K	A	A		0		0	
PC4039-C	T	CVIET	I,N	C,R	N	I	A,G	K,E	A	A		0		0	
PC4040-C	K	CVMNK	N,I	R,C	N	I	A	K	A	A		0		0	
PC4041-C	T	CVIET	N,I	C,R	S,N	I	A,G	K,E	A	A		0		0	
PC4042-C	T	CVIET	N,I	R	N	I	G	E	A	A		0		0	
PC4043-C	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PC4044-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC4045-C	K	CVMNK	I	C	N	I	A,G	K,E	A	A		0		0	
PC4046-C	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PC4047-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC4048-C	T	CVIET	N,I	C,R	S,N	I	A,G	K,E	A	A		0		0	
PC4049-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PC4050-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	A	K	A	A		0		0	
PC4051-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4052-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4054-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC4055-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC4056-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	A	K	A	A		0		0	
PC4060-C	T	CVIET	I	C	N	I	G	E	A	A		0		0	
PC4061-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC4062-C	K	CVMNK	I,N	R	N	I	A,G	K,E	A	A		0		0	
PC4066-C	K	CVMNK	I,N	R,C	N	I	G	E,K	A	A		0		0	
PC4068-C	T,K	CVIET,CVMNK	I	C	N	I	G	E	A	A		0		0	
PC4074-C	K,T	CVMNK,CVIET	N	R,C	N	I	G,A	K,E	A	A		0		0	
PC4079-C	T	CVIET	I,N	R,C	N,S	I	G,A	E,K	A	A		0		0	
PC4083-C	K	CVMNK	I	C	N	I	G	E	A	A		0		0	
PC4084-C	T,K	CVIET,CVMNK	I	R	N	I	G,A	E,K	A	A		0		0	
PC4085-C	K	CVMNK	N,I	R	N	I	G	E	A	A		0		0	
PC4086-C	T,K	CVIET,CVMNK	I,N	R,C	N	I	A	K	A	A		0		0	
PC4088-C	T,K	CVIET,CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4095-C	T	CVIET	I	C,R	N	I	G,A	E,K	A	A		0		0	
PC4098-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC4104-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PC4114-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC4116-C	T	CVIET	N	R	N	I	G	E	A	A		0		0	
PC4117-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PC4118-C	K	CVMNK	I,N	C,R	N	I	G	E	A	A		0		0	
PC4126-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PC4128-C	T	CVIET	I	R	N	I	G	E	A	A		0		0	
PC4129-C	T	CVIET	N,I	R	N	I	G,A	E,K	A	A		0		0	
PC4130-C	K	CVMNK	I	R	N	I	G	E	A	A		0		0	
PD0003-C	T	CVIET	I	R	N	L	G	E	G	A		1	PfMDR1_dup_03	0	
PD0004-03	T	CVIET	I	R	N	I	G	E	G	A		1		0	
PD0004-C	T	CVIET	I	R	N	L	G	E	G	A		1		0	
PD0005-C	T	CVIET	I	R	N	L	G	E	A	A		1		0	
PD0006-01	T	CVIET	I	R	N	L	G	E	G	A		1		0	
PD0007-01	T	CVIET	I	R	N	L	G	E	G	A		0		0	
PD0008-02	T	CVIET	I	R	N	L	G	E	A,G	A		0		0	
PD0009-01	T	CVIET	I	R	N	L	G	E,K	G	A		1	PfMDR1_dup_13	0	
